Year,County,Gender,Race,Offense_Category,Count
2020,Tuolumne,Female,White,Violent,43.0
2020,Tuolumne,Male,Asian/other,Drug,1.0
2020,Tuolumne,Male,Asian/other,Property,3.0
2020,Tuolumne,Male,Asian/other,PublicOrder,3.0
2020,Tuolumne,Male,Asian/other,Violent,6.0
2020,Tuolumne,Male,Black,Drug,1.0
2020,Tuolumne,Male,Black,Property,0.0
2020,Tuolumne,Male,Black,PublicOrder,2.0
2020,Tuolumne,Male,Black,Violent,4.0
2020,Tuolumne,Male,Latinx,Drug,2.0
2020,Tuolumne,Male,Latinx,Property,8.0
2020,Tuolumne,Male,Latinx,PublicOrder,29.0
2020,Tuolumne,Male,Latinx,Violent,18.0
2020,Tuolumne,Male,White,Drug,27.0
2020,Tuolumne,Male,White,Property,51.0
2020,Tuolumne,Male,White,PublicOrder,180.0
2020,Tuolumne,Male,White,Violent,121.0
2020,Unknown,Female,Asian/other,Drug,0.0
2020,Unknown,Female,Asian/other,Property,0.0
2020,Unknown,Female,Asian/other,PublicOrder,0.0
2020,Unknown,Female,Asian/other,Violent,0.0
2020,Unknown,Female,Black,Drug,0.0
2020,Unknown,Female,Black,Property,0.0
2020,Unknown,Female,Black,PublicOrder,0.0
2020,Unknown,Female,Black,Violent,0.0
2020,Unknown,Female,Latinx,Drug,0.0
2020,Unknown,Female,Latinx,Property,0.0
2020,Unknown,Female,Latinx,PublicOrder,0.0
2020,Unknown,Female,Latinx,Violent,0.0
2020,Unknown,Female,White,Drug,0.0
2020,Unknown,Female,White,Property,0.0
2020,Unknown,Female,White,PublicOrder,0.0
2020,Unknown,Female,White,Violent,0.0
2020,Unknown,Male,Asian/other,Drug,0.0
2020,Unknown,Male,Asian/other,Property,0.0
2020,Unknown,Male,Asian/other,PublicOrder,0.0
2020,Unknown,Male,Asian/other,Violent,0.0
2020,Unknown,Male,Black,Drug,0.0
2020,Unknown,Male,Black,Property,0.0
2020,Unknown,Male,Black,PublicOrder,0.0
2020,Unknown,Male,Black,Violent,0.0
2020,Unknown,Male,Latinx,Drug,0.0
2020,Unknown,Male,Latinx,Property,0.0
2020,Unknown,Male,Latinx,PublicOrder,0.0
2020,Unknown,Male,Latinx,Violent,0.0
2020,Unknown,Male,White,Drug,0.0
2020,Unknown,Male,White,Property,0.0
2020,Unknown,Male,White,PublicOrder,0.0
2020,Unknown,Male,White,Violent,0.0
2020,Ventura,Female,Asian/other,Drug,2.0
2020,Ventura,Female,Asian/other,Property,10.0
2020,Ventura,Female,Asian/other,PublicOrder,15.0
2020,Ventura,Female,Asian/other,Violent,24.0
2020,Ventura,Female,Black,Drug,6.0
2020,Ventura,Female,Black,Property,34.0
2020,Ventura,Female,Black,PublicOrder,22.0
2020,Ventura,Female,Black,Violent,25.0
2020,Ventura,Female,Latinx,Drug,59.0
2020,Ventura,Female,Latinx,Property,153.0
2020,Ventura,Female,Latinx,PublicOrder,182.0
2020,Ventura,Female,Latinx,Violent,220.0
2020,Ventura,Female,White,Drug,71.0
2020,Ventura,Female,White,Property,120.0
2020,Ventura,Female,White,PublicOrder,121.0
2020,Ventura,Female,White,Violent,166.0
2020,Ventura,Male,Asian/other,Drug,19.0
