County,Year,Gender,ADPtotrate,Felonyrate,Misdrate,Postdisprate,Predisprate,ADPtotal,Felony,Misd,Postdisp,Predisp,Population,Age
Modoc,2018,Male,1103.68,0.0,0.0,401.34,702.34,33.0,0.0,0.0,12.0,21.0,2990,Adult
Mono,2018,Male,405.17,0.0,0.0,212.23,192.94,21.0,0.0,0.0,11.0,10.0,5183,Adult
Monterey,2018,Male,474.62,0.0,0.0,175.74,298.89,713.0,0.0,0.0,264.0,449.0,150225,Adult
Napa,2018,Male,471.65,0.0,0.0,166.34,305.31,224.0,0.0,0.0,79.0,145.0,47493,Adult
Nevada,2018,Male,559.79,0.0,0.0,112.58,447.21,179.0,0.0,0.0,36.0,143.0,31976,Adult
Orange,2018,Male,495.2,0.0,0.0,242.79,252.42,5348.0,0.0,0.0,2622.0,2726.0,1079961,Adult
Placer,2018,Male,457.84,0.0,0.0,132.04,325.8,586.0,0.0,0.0,169.0,417.0,127993,Adult
Plumas,2018,Male,621.23,0.0,0.0,189.82,431.41,36.0,0.0,0.0,11.0,25.0,5795,Adult
Riverside,2018,Male,412.88,0.0,0.0,107.61,305.27,3246.0,0.0,0.0,846.0,2400.0,786189,Adult
Sacramento,2018,Male,626.02,0.0,0.0,250.37,375.65,3203.0,0.0,0.0,1281.0,1922.0,511641,Adult
San Benito,2018,Male,468.88,0.0,0.0,167.46,301.42,98.0,0.0,0.0,35.0,63.0,20901,Adult
San Bernardino,2018,Male,655.17,0.0,0.0,184.72,470.45,4664.0,0.0,0.0,1315.0,3349.0,711872,Adult
San Diego,2018,Male,429.74,0.0,0.0,211.52,218.23,4868.0,0.0,0.0,2396.0,2472.0,1132765,Adult
San Francisco,2018,Male,357.51,0.0,0.0,53.63,303.88,1220.0,0.0,0.0,183.0,1037.0,341253,Adult
San Joaquin,2018,Male,446.45,0.0,0.0,122.74,323.71,1113.0,0.0,0.0,306.0,807.0,249300,Adult
San Luis Obispo,2018,Male,462.11,0.0,0.0,192.55,269.57,456.0,0.0,0.0,190.0,266.0,98677,Adult
San Mateo,2018,Male,328.1,0.0,0.0,102.48,225.61,858.0,0.0,0.0,268.0,590.0,261509,Adult
Santa Barbara,2018,Male,495.91,0.0,0.0,175.59,320.31,771.0,0.0,0.0,273.0,498.0,155473,Adult
Santa Clara,2018,Male,408.64,0.0,0.0,96.05,312.6,2774.0,0.0,0.0,652.0,2122.0,678833,Adult
Santa Cruz,2018,Male,416.71,0.0,0.0,107.34,309.38,396.0,0.0,0.0,102.0,294.0,95029,Adult
Shasta,2018,Male,516.98,0.0,0.0,157.72,359.26,295.0,0.0,0.0,90.0,205.0,57062,Adult
Sierra,2018,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005,Adult
Siskiyou,2018,Male,604.97,0.0,0.0,79.22,525.75,84.0,0.0,0.0,11.0,73.0,13885,Adult
Solano,2018,Male,437.89,0.0,0.0,94.22,343.67,646.0,0.0,0.0,139.0,507.0,147526,Adult
Sonoma,2018,Male,504.17,0.0,0.0,205.58,298.59,851.0,0.0,0.0,347.0,504.0,168791,Adult
Stanislaus,2018,Male,567.14,0.0,0.0,133.61,433.53,1023.0,0.0,0.0,241.0,782.0,180378,Adult
Sutter,2018,Male,515.98,0.0,0.0,155.71,360.27,169.0,0.0,0.0,51.0,118.0,32753,Adult
Tehama,2018,Male,813.45,0.0,0.0,313.62,499.83,166.0,0.0,0.0,64.0,102.0,20407,Adult
Trinity,2018,Male,1222.38,0.0,0.0,117.54,1104.84,52.0,0.0,0.0,5.0,47.0,4254,Adult
Tulare,2018,Male,798.72,0.0,0.0,272.29,526.43,1188.0,0.0,0.0,405.0,783.0,148738,Adult
Tuolumne,2018,Male,547.53,0.0,0.0,123.46,424.07,102.0,0.0,0.0,23.0,79.0,18629,Adult
Ventura,2018,Male,446.08,0.0,0.0,178.85,267.23,1277.0,0.0,0.0,512.0,765.0,286269,Adult
Yolo,2018,Male,393.32,0.0,0.0,116.79,276.53,293.0,0.0,0.0,87.0,206.0,74494,Adult
Yuba,2018,Male,1216.11,0.0,0.0,175.44,1040.67,305.0,0.0,0.0,44.0,261.0,25080,Adult
Alameda,2019,Male,409.03,0.0,0.0,65.93,343.09,2345.0,0.0,0.0,378.0,1967.0,573314,Adult
Alpine,2019,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383,Adult
Amador,2019,Male,559.25,0.0,0.0,216.71,342.54,80.0,0.0,0.0,31.0,49.0,14305,Adult
Butte,2019,Male,628.49,0.0,0.0,209.5,418.99,459.0,0.0,0.0,153.0,306.0,73032,Adult
Calaveras,2019,Male,607.49,0.0,0.0,171.53,435.96,85.0,0.0,0.0,24.0,61.0,13992,Adult
Colusa,2019,Male,693.19,0.0,0.0,263.41,429.78,50.0,0.0,0.0,19.0,31.0,7213,Adult
Contra Costa,2019,Male,244.12,0.0,0.0,56.31,187.8,932.0,0.0,0.0,215.0,717.0,381787,Adult
Del Norte,2019,Male,816.6,0.0,0.0,336.25,480.35,85.0,0.0,0.0,35.0,50.0,10409,Adult
El Dorado,2019,Male,499.33,0.0,0.0,188.63,310.69,315.0,0.0,0.0,119.0,196.0,63085,Adult
Fresno,2019,Male,806.56,0.0,0.0,194.19,612.36,2654.0,0.0,0.0,639.0,2015.0,329053,Adult
Glenn,2019,Male,839.72,0.0,0.0,262.41,577.31,80.0,0.0,0.0,25.0,55.0,9527,Adult
Humboldt,2019,Male,712.98,0.0,0.0,186.94,526.04,328.0,0.0,0.0,86.0,242.0,46004,Adult
Imperial,2019,Male,508.68,0.0,0.0,215.21,293.47,312.0,0.0,0.0,132.0,180.0,61335,Adult
Inyo,2019,Male,582.36,0.0,0.0,299.5,282.86,35.0,0.0,0.0,18.0,17.0,6010,Adult
Kern,2019,Male,528.63,0.0,0.0,42.32,486.32,1624.0,0.0,0.0,130.0,1494.0,307207,Adult
Kings,2019,Male,855.96,0.0,0.0,222.51,633.45,477.0,0.0,0.0,124.0,353.0,55727,Adult
Lake,2019,Male,999.75,0.0,0.0,411.66,588.09,204.0,0.0,0.0,84.0,120.0,20405,Adult
Lassen,2019,Male,499.96,0.0,0.0,249.98,249.98,70.0,0.0,0.0,35.0,35.0,14001,Adult
