County,Year,Gender,ADPtotrate,Felonyrate,Misdrate,Postdisprate,Predisprate,ADPtotal,Felony,Misd,Postdisp,Predisp,Population,Age
San Diego,2021,Male,343.89,0.0,0.0,111.59,232.31,3840.0,0.0,0.0,1246.0,2594.0,1116621,Adult
San Francisco,2021,Male,231.63,0.0,0.0,34.89,196.73,770.0,0.0,0.0,116.0,654.0,332431,Adult
San Joaquin,2021,Male,425.66,0.0,0.0,68.79,356.87,1089.0,0.0,0.0,176.0,913.0,255838,Adult
San Luis Obispo,2021,Male,374.85,0.0,0.0,121.15,253.7,362.0,0.0,0.0,117.0,245.0,96571,Adult
San Mateo,2021,Male,286.08,0.0,0.0,61.38,224.69,741.0,0.0,0.0,159.0,582.0,259022,Adult
Santa Barbara,2021,Male,455.78,0.0,0.0,123.95,331.83,706.0,0.0,0.0,192.0,514.0,154900,Adult
Santa Clara,2021,Male,325.48,0.0,0.0,31.54,293.94,2229.0,0.0,0.0,216.0,2013.0,684835,Adult
Santa Cruz,2021,Male,291.83,0.0,0.0,40.92,250.91,271.0,0.0,0.0,38.0,233.0,92861,Adult
Shasta,2021,Male,532.13,0.0,0.0,168.99,363.15,296.0,0.0,0.0,94.0,202.0,55625,Adult
Sierra,2021,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944,Adult
Siskiyou,2021,Male,493.66,0.0,0.0,0.0,493.66,65.0,0.0,0.0,0.0,65.0,13167,Adult
Solano,2021,Male,320.33,0.0,0.0,35.89,284.44,473.0,0.0,0.0,53.0,420.0,147659,Adult
Sonoma,2021,Male,381.36,0.0,0.0,126.12,255.23,638.0,0.0,0.0,211.0,427.0,167297,Adult
Stanislaus,2021,Male,614.29,0.0,0.0,131.48,482.81,1126.0,0.0,0.0,241.0,885.0,183302,Adult
Sutter,2021,Male,396.58,0.0,0.0,52.67,343.91,128.0,0.0,0.0,17.0,111.0,32276,Adult
Tehama,2021,Male,643.62,0.0,0.0,194.58,449.03,129.0,0.0,0.0,39.0,90.0,20043,Adult
Trinity,2021,Male,1254.39,0.0,0.0,75.26,1179.13,50.0,0.0,0.0,3.0,47.0,3986,Adult
Tulare,2021,Male,698.73,0.0,0.0,147.8,550.93,1059.0,0.0,0.0,224.0,835.0,151561,Adult
Tuolumne,2021,Male,391.51,0.0,0.0,51.07,340.44,69.0,0.0,0.0,9.0,60.0,17624,Adult
Ventura,2021,Male,388.44,0.0,0.0,123.39,265.05,1105.0,0.0,0.0,351.0,754.0,284474,Adult
Yolo,2021,Male,320.0,0.0,0.0,34.52,285.48,241.0,0.0,0.0,26.0,215.0,75313,Adult
Yuba,2021,Male,650.63,0.0,0.0,141.96,508.68,165.0,0.0,0.0,36.0,129.0,25360,Adult
Alameda,2022,Male,320.63,0.0,0.0,29.34,291.3,1847.0,0.0,0.0,169.0,1678.0,576046,Adult
Alpine,2022,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374,Adult
Amador,2022,Male,562.44,0.0,0.0,92.55,469.88,79.0,0.0,0.0,13.0,66.0,14046,Adult
Butte,2022,Male,568.14,0.0,0.0,161.58,406.56,436.0,0.0,0.0,124.0,312.0,76741,Adult
Calaveras,2022,Male,516.43,0.0,0.0,82.33,434.1,69.0,0.0,0.0,11.0,58.0,13361,Adult
Colusa,2022,Male,669.08,0.0,0.0,388.06,281.01,50.0,0.0,0.0,29.0,21.0,7473,Adult
Contra Costa,2022,Male,206.57,0.0,0.0,28.47,178.09,798.0,0.0,0.0,110.0,688.0,386311,Adult
Del Norte,2022,Male,549.45,0.0,0.0,166.8,382.65,56.0,0.0,0.0,17.0,39.0,10192,Adult
El Dorado,2022,Male,454.64,0.0,0.0,175.11,279.53,283.0,0.0,0.0,109.0,174.0,62247,Adult
Fresno,2022,Male,718.72,0.0,0.0,103.97,614.75,2378.0,0.0,0.0,344.0,2034.0,330864,Adult
Glenn,2022,Male,592.22,0.0,0.0,137.48,454.74,56.0,0.0,0.0,13.0,43.0,9456,Adult
Humboldt,2022,Male,403.92,0.0,0.0,64.72,339.2,181.0,0.0,0.0,29.0,152.0,44811,Adult
Imperial,2022,Male,451.25,0.0,0.0,224.82,226.43,281.0,0.0,0.0,140.0,141.0,62272,Adult
Inyo,2022,Male,659.95,0.0,0.0,208.41,451.55,38.0,0.0,0.0,12.0,26.0,5758,Adult
Kern,2022,Male,468.42,0.0,0.0,69.37,399.05,1472.0,0.0,0.0,218.0,1254.0,314247,Adult
Kings,2022,Male,633.33,0.0,0.0,98.12,535.21,355.0,0.0,0.0,55.0,300.0,56053,Adult
Lake,2022,Male,791.05,0.0,0.0,251.93,539.12,157.0,0.0,0.0,50.0,107.0,19847,Adult
Lassen,2022,Male,534.3,0.0,0.0,113.98,420.32,75.0,0.0,0.0,16.0,59.0,14037,Adult
Los Angeles,2022,Male,370.82,0.0,0.0,124.14,246.67,12859.0,0.0,0.0,4305.0,8554.0,3467727,Adult
Madera,2022,Male,656.79,0.0,0.0,19.78,637.01,332.0,0.0,0.0,10.0,322.0,50549,Adult
Marin,2022,Male,272.27,0.0,0.0,27.83,244.44,225.0,0.0,0.0,23.0,202.0,82639,Adult
Mariposa,2022,Male,580.97,0.0,0.0,199.71,381.26,32.0,0.0,0.0,11.0,21.0,5508,Adult
Mendocino,2022,Male,850.0,0.0,0.0,225.0,625.0,238.0,0.0,0.0,63.0,175.0,28000,Adult
Merced,2022,Male,499.77,0.0,0.0,0.0,499.77,473.0,0.0,0.0,0.0,473.0,94644,Adult
Modoc,2022,Male,454.39,0.0,0.0,209.72,244.67,13.0,0.0,0.0,6.0,7.0,2861,Adult
Mono,2022,Male,371.89,0.0,0.0,78.29,293.6,19.0,0.0,0.0,4.0,15.0,5109,Adult
Monterey,2022,Male,482.6,0.0,0.0,174.11,308.49,729.0,0.0,0.0,263.0,466.0,151057,Adult
Napa,2022,Male,393.64,0.0,0.0,128.36,265.28,184.0,0.0,0.0,60.0,124.0,46743,Adult
Nevada,2022,Male,411.21,0.0,0.0,75.06,336.15,126.0,0.0,0.0,23.0,103.0,30641,Adult
Orange,2022,Male,258.89,0.0,0.0,69.95,188.94,2787.0,0.0,0.0,753.0,2034.0,1076510,Adult
Placer,2022,Male,470.74,0.0,0.0,94.76,375.99,621.0,0.0,0.0,125.0,496.0,131919,Adult
Plumas,2022,Male,699.68,0.0,0.0,269.11,430.57,39.0,0.0,0.0,15.0,24.0,5574,Adult
Riverside,2022,Male,411.63,0.0,0.0,47.19,364.44,3367.0,0.0,0.0,386.0,2981.0,817973,Adult
Sacramento,2022,Male,504.38,0.0,0.0,139.72,364.66,2628.0,0.0,0.0,728.0,1900.0,521040,Adult
San Benito,2022,Male,507.47,0.0,0.0,103.37,404.1,108.0,0.0,0.0,22.0,86.0,21282,Adult
San Bernardino,2022,Male,574.4,0.0,0.0,73.64,500.76,4173.0,0.0,0.0,535.0,3638.0,726491,Adult
San Diego,2022,Male,320.44,0.0,0.0,130.02,190.42,3576.0,0.0,0.0,1451.0,2125.0,1115970,Adult
San Francisco,2022,Male,219.52,0.0,0.0,33.12,186.39,729.0,0.0,0.0,110.0,619.0,332091,Adult
San Joaquin,2022,Male,418.66,0.0,0.0,82.42,336.24,1082.0,0.0,0.0,213.0,869.0,258444,Adult
San Luis Obispo,2022,Male,354.21,0.0,0.0,130.88,223.33,341.0,0.0,0.0,126.0,215.0,96271,Adult
San Mateo,2022,Male,347.7,0.0,0.0,89.43,258.27,902.0,0.0,0.0,232.0,670.0,259419,Adult
Santa Barbara,2022,Male,416.08,0.0,0.0,100.63,315.45,645.0,0.0,0.0,156.0,489.0,155017,Adult
Santa Clara,2022,Male,385.96,0.0,0.0,33.91,352.04,2663.0,0.0,0.0,234.0,2429.0,689969,Adult
Santa Cruz,2022,Male,360.14,0.0,0.0,80.03,280.11,333.0,0.0,0.0,74.0,259.0,92463,Adult
Shasta,2022,Male,426.38,0.0,0.0,112.01,314.36,236.0,0.0,0.0,62.0,174.0,55350,Adult
Sierra,2022,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923,Adult
Siskiyou,2022,Male,693.53,0.0,0.0,0.0,693.53,90.0,0.0,0.0,0.0,90.0,12977,Adult
Solano,2022,Male,311.71,0.0,0.0,44.53,267.18,462.0,0.0,0.0,66.0,396.0,148214,Adult
Sonoma,2022,Male,370.44,0.0,0.0,108.74,261.7,620.0,0.0,0.0,182.0,438.0,167368,Adult
Stanislaus,2022,Male,627.55,0.0,0.0,178.29,449.26,1158.0,0.0,0.0,329.0,829.0,184527,Adult
Sutter,2022,Male,381.46,0.0,0.0,30.76,350.69,124.0,0.0,0.0,10.0,114.0,32507,Adult
Tehama,2022,Male,513.56,0.0,0.0,94.73,418.83,103.0,0.0,0.0,19.0,84.0,20056,Adult
Trinity,2022,Male,1039.03,0.0,0.0,0.0,1039.03,41.0,0.0,0.0,0.0,41.0,3946,Adult
Tulare,2022,Male,676.06,0.0,0.0,175.06,501.01,1035.0,0.0,0.0,268.0,767.0,153092,Adult
Tuolumne,2022,Male,510.88,0.0,0.0,143.5,367.37,89.0,0.0,0.0,25.0,64.0,17421,Adult
Ventura,2022,Male,400.47,0.0,0.0,120.6,279.87,1139.0,0.0,0.0,343.0,796.0,284415,Adult
Yolo,2022,Male,311.42,0.0,0.0,51.46,259.96,236.0,0.0,0.0,39.0,197.0,75781,Adult
Yuba,2022,Male,782.84,0.0,0.0,168.31,614.53,200.0,0.0,0.0,43.0,157.0,25548,Adult
Alameda,2023,Male,259.63,0.0,0.0,21.59,238.04,1503.0,0.0,0.0,125.0,1378.0,578900,Adult
Alpine,2023,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376,Adult
Amador,2023,Male,558.5,0.0,0.0,186.17,372.33,78.0,0.0,0.0,26.0,52.0,13966,Adult
Butte,2023,Male,561.49,0.0,0.0,198.02,363.47,431.0,0.0,0.0,152.0,279.0,76760,Adult
Calaveras,2023,Male,491.2,0.0,0.0,30.23,460.97,65.0,0.0,0.0,4.0,61.0,13233,Adult
Colusa,2023,Male,559.78,0.0,0.0,106.62,453.15,42.0,0.0,0.0,8.0,34.0,7503,Adult
Contra Costa,2023,Male,205.66,0.0,0.0,38.87,166.79,799.0,0.0,0.0,151.0,648.0,388502,Adult
Del Norte,2023,Male,670.35,0.0,0.0,207.02,463.33,68.0,0.0,0.0,21.0,47.0,10144,Adult
El Dorado,2023,Male,409.27,0.0,0.0,24.07,385.2,255.0,0.0,0.0,15.0,240.0,62306,Adult
Fresno,2023,Male,708.98,0.0,0.0,114.66,594.31,2362.0,0.0,0.0,382.0,1980.0,333157,Adult
Glenn,2023,Male,632.91,0.0,0.0,221.52,411.39,60.0,0.0,0.0,21.0,39.0,9480,Adult
Humboldt,2023,Male,547.91,0.0,0.0,107.79,440.12,244.0,0.0,0.0,48.0,196.0,44533,Adult
Imperial,2023,Male,474.77,0.0,0.0,222.2,252.57,297.0,0.0,0.0,139.0,158.0,62557,Adult
Inyo,2023,Male,739.96,0.0,0.0,17.62,722.34,42.0,0.0,0.0,1.0,41.0,5676,Adult
Kern,2023,Male,445.85,0.0,0.0,51.95,393.9,1416.0,0.0,0.0,165.0,1251.0,317593,Adult
Kings,2023,Male,570.47,0.0,0.0,129.33,441.14,322.0,0.0,0.0,73.0,249.0,56445,Adult
Lake,2023,Male,862.51,0.0,0.0,319.63,542.87,170.0,0.0,0.0,63.0,107.0,19710,Adult
Lassen,2023,Male,454.38,0.0,0.0,57.7,396.68,63.0,0.0,0.0,8.0,55.0,13865,Adult
Los Angeles,2023,Male,309.66,0.0,0.0,77.8,231.86,10731.0,0.0,0.0,2696.0,8035.0,3465407,Adult
Madera,2023,Male,705.06,0.0,0.0,3.91,701.16,361.0,0.0,0.0,2.0,359.0,51201,Adult
Marin,2023,Male,254.63,0.0,0.0,30.31,224.32,210.0,0.0,0.0,25.0,185.0,82473,Adult
Mariposa,2023,Male,627.42,0.0,0.0,129.18,498.25,34.0,0.0,0.0,7.0,27.0,5419,Adult
Mendocino,2023,Male,669.62,0.0,0.0,216.01,453.61,186.0,0.0,0.0,60.0,126.0,27777,Adult
Merced,2023,Male,398.19,0.0,0.0,0.0,398.19,381.0,0.0,0.0,0.0,381.0,95682,Adult
Modoc,2023,Male,630.47,0.0,0.0,210.16,420.32,18.0,0.0,0.0,6.0,12.0,2855,Adult
Mono,2023,Male,393.93,0.0,0.0,157.57,236.36,20.0,0.0,0.0,8.0,12.0,5077,Adult
Monterey,2023,Male,515.86,0.0,0.0,184.05,331.81,782.0,0.0,0.0,279.0,503.0,151592,Adult
Napa,2023,Male,286.48,0.0,0.0,79.1,207.38,134.0,0.0,0.0,37.0,97.0,46775,Adult
Nevada,2023,Male,459.8,0.0,0.0,45.98,413.82,140.0,0.0,0.0,14.0,126.0,30448,Adult
Orange,2023,Male,273.4,0.0,0.0,79.09,194.3,2945.0,0.0,0.0,852.0,2093.0,1077189,Adult
Placer,2023,Male,503.41,0.0,0.0,113.29,390.13,671.0,0.0,0.0,151.0,520.0,133290,Adult
Plumas,2023,Male,671.87,0.0,0.0,290.54,381.33,37.0,0.0,0.0,16.0,21.0,5507,Adult
Riverside,2023,Male,408.89,0.0,0.0,56.49,352.4,3380.0,0.0,0.0,467.0,2913.0,826629,Adult
Sacramento,2023,Male,526.26,0.0,0.0,147.7,378.56,2765.0,0.0,0.0,776.0,1989.0,525407,Adult
San Benito,2023,Male,375.27,0.0,0.0,84.44,290.83,80.0,0.0,0.0,18.0,62.0,21318,Adult
San Bernardino,2023,Male,485.64,0.0,0.0,51.12,434.52,3553.0,0.0,0.0,374.0,3179.0,731606,Adult
San Diego,2023,Male,329.16,0.0,0.0,129.05,200.11,3673.0,0.0,0.0,1440.0,2233.0,1115886,Adult
San Francisco,2023,Male,296.3,0.0,0.0,44.61,251.69,983.0,0.0,0.0,148.0,835.0,331757,Adult
San Joaquin,2023,Male,421.06,0.0,0.0,80.69,340.36,1101.0,0.0,0.0,211.0,890.0,261485,Adult
San Luis Obispo,2023,Male,385.15,0.0,0.0,152.39,232.76,369.0,0.0,0.0,146.0,223.0,95808,Adult
San Mateo,2023,Male,338.03,0.0,0.0,93.45,244.58,879.0,0.0,0.0,243.0,636.0,260036,Adult
Santa Barbara,2023,Male,410.23,0.0,0.0,101.11,309.12,637.0,0.0,0.0,157.0,480.0,155278,Adult
Santa Clara,2023,Male,388.8,0.0,0.0,35.24,353.56,2703.0,0.0,0.0,245.0,2458.0,695209,Adult
Santa Cruz,2023,Male,266.48,0.0,0.0,58.74,207.75,245.0,0.0,0.0,54.0,191.0,91938,Adult
Shasta,2023,Male,616.49,0.0,0.0,170.44,446.05,340.0,0.0,0.0,94.0,246.0,55151,Adult
Sierra,2023,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907,Adult
Siskiyou,2023,Male,746.27,0.0,0.0,31.09,715.17,96.0,0.0,0.0,4.0,92.0,12864,Adult
Solano,2023,Male,308.75,0.0,0.0,46.98,261.77,460.0,0.0,0.0,70.0,390.0,148987,Adult
Sonoma,2023,Male,348.81,0.0,0.0,100.34,248.47,584.0,0.0,0.0,168.0,416.0,167425,Adult
Stanislaus,2023,Male,661.04,0.0,0.0,202.94,458.1,1228.0,0.0,0.0,377.0,851.0,185768,Adult
Sutter,2023,Male,525.24,0.0,0.0,36.64,488.59,172.0,0.0,0.0,12.0,160.0,32747,Adult
Tehama,2023,Male,397.85,0.0,0.0,84.54,313.31,80.0,0.0,0.0,17.0,63.0,20108,Adult
Trinity,2023,Male,1061.9,0.0,0.0,77.7,984.2,41.0,0.0,0.0,3.0,38.0,3861,Adult
Tulare,2023,Male,618.38,0.0,0.0,175.94,442.44,956.0,0.0,0.0,272.0,684.0,154598,Adult
Tuolumne,2023,Male,637.35,0.0,0.0,185.41,451.94,110.0,0.0,0.0,32.0,78.0,17259,Adult
Ventura,2023,Male,366.86,0.0,0.0,111.85,255.01,1043.0,0.0,0.0,318.0,725.0,284304,Adult
Yolo,2023,Male,281.8,0.0,0.0,68.16,213.64,215.0,0.0,0.0,52.0,163.0,76295,Adult
Yuba,2023,Male,940.57,0.0,0.0,171.01,769.56,242.0,0.0,0.0,44.0,198.0,25729,Adult
Alameda,2024,Male,239.83,0.0,0.0,18.22,221.61,1395.0,0.0,0.0,106.0,1289.0,581664,Adult
Alpine,2024,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364,Adult
Amador,2024,Male,461.49,0.0,0.0,108.16,353.33,64.0,0.0,0.0,15.0,49.0,13868,Adult
Butte,2024,Male,517.77,0.0,0.0,169.12,348.65,398.0,0.0,0.0,130.0,268.0,76868,Adult
Calaveras,2024,Male,527.44,0.0,0.0,53.51,473.93,69.0,0.0,0.0,7.0,62.0,13082,Adult
Colusa,2024,Male,515.33,0.0,0.0,92.49,422.83,39.0,0.0,0.0,7.0,32.0,7568,Adult
Contra Costa,2024,Male,218.8,0.0,0.0,42.79,176.01,854.0,0.0,0.0,167.0,687.0,390310,Adult
Del Norte,2024,Male,632.54,0.0,0.0,138.37,494.17,64.0,0.0,0.0,14.0,50.0,10118,Adult
El Dorado,2024,Male,412.37,0.0,0.0,22.46,389.91,257.0,0.0,0.0,14.0,243.0,62322,Adult
Fresno,2024,Male,639.08,0.0,0.0,117.69,521.39,2145.0,0.0,0.0,395.0,1750.0,335640,Adult
Glenn,2024,Male,546.79,0.0,0.0,168.24,378.55,52.0,0.0,0.0,16.0,36.0,9510,Adult
Humboldt,2024,Male,559.43,0.0,0.0,117.3,442.13,248.0,0.0,0.0,52.0,196.0,44331,Adult
Imperial,2024,Male,510.46,0.0,0.0,187.64,322.81,321.0,0.0,0.0,118.0,203.0,62885,Adult
Inyo,2024,Male,749.46,0.0,0.0,196.29,553.18,42.0,0.0,0.0,11.0,31.0,5604,Adult
Kern,2024,Male,481.16,0.0,0.0,72.2,408.95,1546.0,0.0,0.0,232.0,1314.0,321310,Adult
Kings,2024,Male,544.13,0.0,0.0,107.42,436.71,309.0,0.0,0.0,61.0,248.0,56788,Adult
Lake,2024,Male,913.08,0.0,0.0,275.45,637.62,179.0,0.0,0.0,54.0,125.0,19604,Adult
Lassen,2024,Male,522.84,0.0,0.0,65.35,457.48,72.0,0.0,0.0,9.0,63.0,13771,Adult
Los Angeles,2024,Male,318.66,0.0,0.0,69.69,248.97,11033.0,0.0,0.0,2413.0,8620.0,3462315,Adult
Madera,2024,Male,702.58,0.0,0.0,0.0,702.58,366.0,0.0,0.0,0.0,366.0,52094,Adult
Marin,2024,Male,266.49,0.0,0.0,46.24,220.25,219.0,0.0,0.0,38.0,181.0,82178,Adult
Mariposa,2024,Male,544.81,0.0,0.0,112.72,432.09,29.0,0.0,0.0,6.0,23.0,5323,Adult
Mendocino,2024,Male,783.73,0.0,0.0,245.59,538.14,217.0,0.0,0.0,68.0,149.0,27688,Adult
Merced,2024,Male,419.33,0.0,0.0,3.1,416.23,406.0,0.0,0.0,3.0,403.0,96821,Adult
Modoc,2024,Male,574.3,0.0,0.0,143.58,430.73,16.0,0.0,0.0,4.0,12.0,2786,Adult
Mono,2024,Male,275.92,0.0,0.0,78.83,197.08,14.0,0.0,0.0,4.0,10.0,5074,Adult
Monterey,2024,Male,464.7,0.0,0.0,168.27,296.44,707.0,0.0,0.0,256.0,451.0,152140,Adult
Napa,2024,Male,422.69,0.0,0.0,134.49,288.2,198.0,0.0,0.0,63.0,135.0,46843,Adult
Nevada,2024,Male,413.66,0.0,0.0,39.71,373.95,125.0,0.0,0.0,12.0,113.0,30218,Adult
Orange,2024,Male,307.34,0.0,0.0,92.86,214.48,3313.0,0.0,0.0,1001.0,2312.0,1077976,Adult
Placer,2024,Male,499.14,0.0,0.0,137.41,361.73,672.0,0.0,0.0,185.0,487.0,134632,Adult
Plumas,2024,Male,479.0,0.0,0.0,128.96,350.04,26.0,0.0,0.0,7.0,19.0,5428,Adult
Riverside,2024,Male,407.23,0.0,0.0,47.07,360.16,3400.0,0.0,0.0,393.0,3007.0,834901,Adult
Sacramento,2024,Male,513.19,0.0,0.0,107.21,405.99,2719.0,0.0,0.0,568.0,2151.0,529819,Adult
San Benito,2024,Male,428.96,0.0,0.0,51.29,377.68,92.0,0.0,0.0,11.0,81.0,21447,Adult
San Bernardino,2024,Male,501.13,0.0,0.0,49.39,451.73,3693.0,0.0,0.0,364.0,3329.0,736941,Adult
San Diego,2024,Male,326.04,0.0,0.0,130.45,195.59,3639.0,0.0,0.0,1456.0,2183.0,1116112,Adult
San Francisco,2024,Male,316.41,0.0,0.0,47.7,268.7,1048.0,0.0,0.0,158.0,890.0,331219,Adult
San Joaquin,2024,Male,413.2,0.0,0.0,88.08,325.11,1093.0,0.0,0.0,233.0,860.0,264524,Adult
San Luis Obispo,2024,Male,390.32,0.0,0.0,144.8,245.52,372.0,0.0,0.0,138.0,234.0,95307,Adult
San Mateo,2024,Male,314.16,0.0,0.0,81.42,232.74,818.0,0.0,0.0,212.0,606.0,260378,Adult
Santa Barbara,2024,Male,391.59,0.0,0.0,111.24,280.35,609.0,0.0,0.0,173.0,436.0,155521,Adult
Santa Clara,2024,Male,349.38,0.0,0.0,30.98,318.4,2447.0,0.0,0.0,217.0,2230.0,700384,Adult
Santa Cruz,2024,Male,278.2,0.0,0.0,51.28,226.92,255.0,0.0,0.0,47.0,208.0,91661,Adult
Shasta,2024,Male,551.13,0.0,0.0,169.16,381.97,303.0,0.0,0.0,93.0,210.0,54978,Adult
Sierra,2024,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893,Adult
Siskiyou,2024,Male,785.05,0.0,0.0,0.0,785.05,100.0,0.0,0.0,0.0,100.0,12738,Adult
Solano,2024,Male,265.63,0.0,0.0,41.48,224.15,397.0,0.0,0.0,62.0,335.0,149454,Adult
Sonoma,2024,Male,355.24,0.0,0.0,105.08,250.16,595.0,0.0,0.0,176.0,419.0,167492,Adult
Stanislaus,2024,Male,615.41,0.0,0.0,119.66,495.75,1152.0,0.0,0.0,224.0,928.0,187193,Adult
Sutter,2024,Male,453.36,0.0,0.0,30.43,422.93,149.0,0.0,0.0,10.0,139.0,32866,Adult
Tehama,2024,Male,367.54,0.0,0.0,39.73,327.8,74.0,0.0,0.0,8.0,66.0,20134,Adult
Trinity,2024,Male,1055.69,0.0,0.0,79.18,976.51,40.0,0.0,0.0,3.0,37.0,3789,Adult
Tulare,2024,Male,602.05,0.0,0.0,144.11,457.94,940.0,0.0,0.0,225.0,715.0,156134,Adult
Tuolumne,2024,Male,531.39,0.0,0.0,145.99,385.4,91.0,0.0,0.0,25.0,66.0,17125,Adult
Ventura,2024,Male,344.53,0.0,0.0,115.08,229.45,979.0,0.0,0.0,327.0,652.0,284159,Adult
Yolo,2024,Male,324.95,0.0,0.0,70.19,254.76,250.0,0.0,0.0,54.0,196.0,76935,Adult
Yuba,2024,Male,1055.19,0.0,0.0,123.69,931.51,273.0,0.0,0.0,32.0,241.0,25872,Adult
Alameda,2017,Female,10.34,3.93,3.93,1.96,8.38,7.9,3.0,3.0,1.5,6.4,76403,Juvenile
Alpine,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,Juvenile
Amador,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304,Juvenile
Butte,2017,Female,28.2,28.2,0.0,9.4,18.8,3.0,3.0,0.0,1.0,2.0,10640,Juvenile
Calaveras,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789,Juvenile
Colusa,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307,Juvenile
Contra Cost,2017,Female,42.72,15.38,22.21,30.76,11.96,25.0,9.0,13.0,18.0,7.0,58521,Juvenile
Del Norte,2017,Female,286.18,243.9,162.6,157.72,128.46,3.52,3.0,2.0,1.94,1.58,1230,Juvenile
El Dorado,2017,Female,94.84,21.07,73.76,21.07,73.76,9.0,2.0,7.0,2.0,7.0,9490,Juvenile
Fresno,2017,Female,38.39,18.36,13.35,23.37,15.02,23.0,11.0,8.0,14.0,9.0,59918,Juvenile
Glenn,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656,Juvenile
Humboldt,2017,Female,65.08,32.22,32.22,3.7,61.37,4.04,2.0,2.0,0.23,3.81,6208,Juvenile
Imperial,2017,Female,44.81,0.0,26.89,17.92,26.89,5.0,0.0,3.0,2.0,3.0,11158,Juvenile
Inyo,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791,Juvenile
Kern,2017,Female,71.74,18.35,49.54,51.37,20.37,39.1,10.0,27.0,28.0,11.1,54505,Juvenile
Kings,2017,Female,6.37,0.0,10.11,0.0,6.37,0.63,0.0,1.0,0.0,0.63,9887,Juvenile
Lake,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2898,Juvenile
Lassen,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983,Juvenile
Los Angeles,2017,Female,30.31,16.75,12.76,18.55,11.77,152.0,84.0,64.0,93.0,59.0,501473,Juvenile
Madera,2017,Female,96.58,32.19,64.38,0.0,96.58,9.0,3.0,6.0,0.0,9.0,9319,Juvenile
Marin,2017,Female,46.43,15.22,30.45,27.4,19.03,6.1,2.0,4.0,3.6,2.5,13137,Juvenile
Mariposa,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644,Juvenile
Mendocino,2017,Female,65.61,0.0,72.9,21.87,43.74,2.7,0.0,3.0,0.9,1.8,4115,Juvenile
Merced,2017,Female,14.41,11.08,5.54,1.11,13.3,2.6,2.0,1.0,0.2,2.4,18049,Juvenile
Modoc,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430,Juvenile
Mono,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626,Juvenile
Monterey,2017,Female,20.47,0.0,20.47,8.19,12.28,5.0,0.0,5.0,2.0,3.0,24430,Juvenile
Napa,2017,Female,43.07,0.0,43.07,28.72,14.36,3.0,0.0,3.0,2.0,1.0,6965,Juvenile
Nevada,2017,Female,20.15,0.0,26.17,20.15,0.0,0.77,0.0,1.0,0.77,0.0,3821,Juvenile
Orange,2017,Female,22.65,11.63,9.18,15.3,7.35,37.0,19.0,15.0,25.0,12.0,163361,Juvenile
Placer,2017,Female,22.88,5.32,15.96,22.67,0.21,4.3,1.0,3.0,4.26,0.04,18792,Juvenile
Plumas,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736,Juvenile
Riverside,2017,Female,14.91,9.45,4.36,11.2,3.71,20.5,13.0,6.0,15.4,5.1,137516,Juvenile
Sacramento,2017,Female,15.04,10.03,3.76,2.51,12.53,12.0,8.0,3.0,2.0,10.0,79793,Juvenile
San Benito,2017,Female,1.77,0.0,0.0,0.0,1.77,0.06,0.0,0.0,0.0,0.06,3395,Juvenile
San Bernard,2017,Female,16.4,8.59,10.15,3.9,12.49,21.0,11.0,13.0,5.0,16.0,128070,Juvenile
San Diego,2017,Female,31.98,15.69,17.5,18.7,13.27,53.0,26.0,29.0,31.0,22.0,165747,Juvenile
San Francis,2017,Female,46.44,12.66,33.77,37.99,8.44,11.0,3.0,8.0,9.0,2.0,23689,Juvenile
San Joaquin,2017,Female,19.95,17.73,4.43,2.22,17.73,9.0,8.0,2.0,1.0,8.0,45109,Juvenile
