Year,County,Cost_per_prisoner,Imprisonments,Population
2017,Butte,98731.13977823606,10.0,7392.0
2017,Butte,98731.13977823606,42.0,7392.0
2017,Butte,98731.13977823606,7.0,1448.0
2017,Butte,98731.13977823606,13.0,1448.0
2017,Butte,98731.13977823606,9.0,1448.0
2017,Butte,98731.13977823606,67.0,1448.0
2017,Butte,98731.13977823606,15.0,11910.0
2017,Butte,98731.13977823606,7.0,11910.0
2017,Butte,98731.13977823606,19.0,11910.0
2017,Butte,98731.13977823606,95.0,11910.0
2017,Butte,98731.13977823606,44.0,56581.0
2017,Butte,98731.13977823606,105.0,56581.0
2017,Butte,98731.13977823606,69.0,56581.0
2017,Butte,98731.13977823606,380.0,56581.0
2017,Calaveras,98731.13977823606,0.0,880.0
2017,Calaveras,98731.13977823606,0.0,880.0
2017,Calaveras,98731.13977823606,0.0,880.0
2017,Calaveras,98731.13977823606,0.0,880.0
2017,Calaveras,98731.13977823606,0.0,76.0
2017,Calaveras,98731.13977823606,0.0,76.0
2017,Calaveras,98731.13977823606,0.0,76.0
2017,Calaveras,98731.13977823606,0.0,76.0
2017,Calaveras,98731.13977823606,0.0,1474.0
2017,Calaveras,98731.13977823606,0.0,1474.0
2017,Calaveras,98731.13977823606,2.0,1474.0
2017,Calaveras,98731.13977823606,0.0,1474.0
2017,Calaveras,98731.13977823606,0.0,12007.0
2017,Calaveras,98731.13977823606,0.0,12007.0
2017,Calaveras,98731.13977823606,0.0,12007.0
2017,Calaveras,98731.13977823606,0.0,12007.0
2017,Calaveras,98731.13977823606,3.0,795.0
2017,Calaveras,98731.13977823606,11.0,795.0
2017,Calaveras,98731.13977823606,8.0,795.0
2017,Calaveras,98731.13977823606,49.0,795.0
2017,Calaveras,98731.13977823606,0.0,176.0
2017,Calaveras,98731.13977823606,0.0,176.0
2017,Calaveras,98731.13977823606,1.0,176.0
2017,Calaveras,98731.13977823606,1.0,176.0
2017,Calaveras,98731.13977823606,0.0,1712.0
2017,Calaveras,98731.13977823606,0.0,1712.0
2017,Calaveras,98731.13977823606,0.0,1712.0
2017,Calaveras,98731.13977823606,6.0,1712.0
2017,Calaveras,98731.13977823606,0.0,11743.0
2017,Calaveras,98731.13977823606,0.0,11743.0
2017,Calaveras,98731.13977823606,0.0,11743.0
2017,Calaveras,98731.13977823606,0.0,11743.0
2017,Colusa,98731.13977823606,0.0,340.0
2017,Colusa,98731.13977823606,0.0,340.0
2017,Colusa,98731.13977823606,0.0,340.0
2017,Colusa,98731.13977823606,0.0,340.0
2017,Colusa,98731.13977823606,0.0,57.0
2017,Colusa,98731.13977823606,0.0,57.0
2017,Colusa,98731.13977823606,0.0,57.0
2017,Colusa,98731.13977823606,0.0,57.0
2017,Colusa,98731.13977823606,0.0,3659.0
2017,Colusa,98731.13977823606,0.0,3659.0
2017,Colusa,98731.13977823606,0.0,3659.0
2017,Colusa,98731.13977823606,1.0,3659.0
2017,Colusa,98731.13977823606,0.0,2625.0
2017,Colusa,98731.13977823606,0.0,2625.0
2017,Colusa,98731.13977823606,1.0,2625.0
2017,Colusa,98731.13977823606,0.0,2625.0
2017,Colusa,98731.13977823606,0.0,254.0
2017,Colusa,98731.13977823606,1.0,254.0
2017,Colusa,98731.13977823606,1.0,254.0
2017,Colusa,98731.13977823606,6.0,254.0
2017,Colusa,98731.13977823606,0.0,60.0
2017,Colusa,98731.13977823606,0.0,60.0
2017,Colusa,98731.13977823606,2.0,60.0
2017,Colusa,98731.13977823606,5.0,60.0
2017,Colusa,98731.13977823606,2.0,4225.0
2017,Colusa,98731.13977823606,6.0,4225.0
2017,Colusa,98731.13977823606,4.0,4225.0
2017,Colusa,98731.13977823606,32.0,4225.0
2017,Colusa,98731.13977823606,1.0,2648.0
2017,Colusa,98731.13977823606,3.0,2648.0
2017,Colusa,98731.13977823606,0.0,2648.0
2017,Colusa,98731.13977823606,22.0,2648.0
2017,Contra Costa,98731.13977823606,0.0,79809.0
2017,Contra Costa,98731.13977823606,0.0,79809.0
2017,Contra Costa,98731.13977823606,0.0,79809.0
2017,Contra Costa,98731.13977823606,6.0,79809.0
2017,Contra Costa,98731.13977823606,0.0,38256.0
2017,Contra Costa,98731.13977823606,6.0,38256.0
2017,Contra Costa,98731.13977823606,1.0,38256.0
2017,Contra Costa,98731.13977823606,23.0,38256.0
2017,Contra Costa,98731.13977823606,0.0,92524.0
2017,Contra Costa,98731.13977823606,0.0,92524.0
2017,Contra Costa,98731.13977823606,0.0,92524.0
2017,Contra Costa,98731.13977823606,11.0,92524.0
2017,Contra Costa,98731.13977823606,0.0,178591.0
2017,Contra Costa,98731.13977823606,3.0,178591.0
2017,Contra Costa,98731.13977823606,5.0,178591.0
2017,Contra Costa,98731.13977823606,19.0,178591.0
2017,Contra Costa,98731.13977823606,5.0,71866.0
2017,Contra Costa,98731.13977823606,6.0,71866.0
2017,Contra Costa,98731.13977823606,8.0,71866.0
2017,Contra Costa,98731.13977823606,134.0,71866.0
2017,Contra Costa,98731.13977823606,19.0,32824.0
2017,Contra Costa,98731.13977823606,78.0,32824.0
2017,Contra Costa,98731.13977823606,45.0,32824.0
2017,Contra Costa,98731.13977823606,742.0,32824.0
2017,Contra Costa,98731.13977823606,9.0,96994.0
2017,Contra Costa,98731.13977823606,20.0,96994.0
2017,Contra Costa,98731.13977823606,27.0,96994.0
2017,Contra Costa,98731.13977823606,371.0,96994.0
2017,Contra Costa,98731.13977823606,11.0,177697.0
2017,Contra Costa,98731.13977823606,46.0,177697.0
2017,Contra Costa,98731.13977823606,24.0,177697.0
2017,Contra Costa,98731.13977823606,364.0,177697.0
2017,Del Norte,98731.13977823606,1.0,1204.0
2017,Del Norte,98731.13977823606,1.0,1204.0
2017,Del Norte,98731.13977823606,0.0,1204.0
2017,Del Norte,98731.13977823606,0.0,1204.0
2017,Del Norte,98731.13977823606,0.0,17.0
2017,Del Norte,98731.13977823606,0.0,17.0
2017,Del Norte,98731.13977823606,0.0,17.0
2017,Del Norte,98731.13977823606,0.0,17.0
2017,Del Norte,98731.13977823606,0.0,1002.0
2017,Del Norte,98731.13977823606,0.0,1002.0
2017,Del Norte,98731.13977823606,0.0,1002.0
2017,Del Norte,98731.13977823606,0.0,1002.0
2017,Del Norte,98731.13977823606,1.0,5475.0
2017,Del Norte,98731.13977823606,2.0,5475.0
2017,Del Norte,98731.13977823606,3.0,5475.0
2017,Del Norte,98731.13977823606,3.0,5475.0
2017,Del Norte,98731.13977823606,4.0,1180.0
2017,Del Norte,98731.13977823606,3.0,1180.0
2017,Del Norte,98731.13977823606,4.0,1180.0
2017,Del Norte,98731.13977823606,13.0,1180.0
2017,Del Norte,98731.13977823606,0.0,672.0
2017,Del Norte,98731.13977823606,0.0,672.0
2017,Del Norte,98731.13977823606,2.0,672.0
2017,Del Norte,98731.13977823606,7.0,672.0
2017,Del Norte,98731.13977823606,4.0,2291.0
2017,Del Norte,98731.13977823606,2.0,2291.0
2017,Del Norte,98731.13977823606,2.0,2291.0
2017,Del Norte,98731.13977823606,12.0,2291.0
2017,Del Norte,98731.13977823606,6.0,5790.0
2017,Del Norte,98731.13977823606,14.0,5790.0
2017,Del Norte,98731.13977823606,7.0,5790.0
2017,Del Norte,98731.13977823606,60.0,5790.0
2017,El Dorado,98731.13977823606,0.0,4944.0
2017,El Dorado,98731.13977823606,2.0,4944.0
2017,El Dorado,98731.13977823606,0.0,4944.0
2017,El Dorado,98731.13977823606,2.0,4944.0
2017,El Dorado,98731.13977823606,0.0,372.0
2017,El Dorado,98731.13977823606,0.0,372.0
2017,El Dorado,98731.13977823606,0.0,372.0
2017,El Dorado,98731.13977823606,1.0,372.0
2017,El Dorado,98731.13977823606,0.0,7703.0
2017,El Dorado,98731.13977823606,0.0,7703.0
2017,El Dorado,98731.13977823606,1.0,7703.0
2017,El Dorado,98731.13977823606,1.0,7703.0
2017,El Dorado,98731.13977823606,0.0,48308.0
2017,El Dorado,98731.13977823606,4.0,48308.0
2017,El Dorado,98731.13977823606,5.0,48308.0
2017,El Dorado,98731.13977823606,18.0,48308.0
2017,El Dorado,98731.13977823606,0.0,4518.0
2017,El Dorado,98731.13977823606,1.0,4518.0
2017,El Dorado,98731.13977823606,2.0,4518.0
2017,El Dorado,98731.13977823606,13.0,4518.0
2017,El Dorado,98731.13977823606,2.0,550.0
2017,El Dorado,98731.13977823606,3.0,550.0
2017,El Dorado,98731.13977823606,0.0,550.0
2017,El Dorado,98731.13977823606,23.0,550.0
2017,El Dorado,98731.13977823606,2.0,8027.0
2017,El Dorado,98731.13977823606,8.0,8027.0
2017,El Dorado,98731.13977823606,7.0,8027.0
2017,El Dorado,98731.13977823606,29.0,8027.0
2017,El Dorado,98731.13977823606,19.0,49558.0
2017,El Dorado,98731.13977823606,43.0,49558.0
2017,El Dorado,98731.13977823606,25.0,49558.0
2017,El Dorado,98731.13977823606,187.0,49558.0
2017,Fresno,98731.13977823606,1.0,39274.0
2017,Fresno,98731.13977823606,1.0,39274.0
2017,Fresno,98731.13977823606,0.0,39274.0
2017,Fresno,98731.13977823606,12.0,39274.0
2017,Fresno,98731.13977823606,1.0,15558.0
2017,Fresno,98731.13977823606,4.0,15558.0
2017,Fresno,98731.13977823606,1.0,15558.0
2017,Fresno,98731.13977823606,21.0,15558.0
2017,Fresno,98731.13977823606,2.0,159039.0
2017,Fresno,98731.13977823606,6.0,159039.0
2017,Fresno,98731.13977823606,10.0,159039.0
2017,Fresno,98731.13977823606,49.0,159039.0
2017,Fresno,98731.13977823606,0.0,101794.0
2017,Fresno,98731.13977823606,17.0,101794.0
2017,Fresno,98731.13977823606,5.0,101794.0
2017,Fresno,98731.13977823606,30.0,101794.0
2017,Fresno,98731.13977823606,4.0,38383.0
2017,Fresno,98731.13977823606,32.0,38383.0
2017,Fresno,98731.13977823606,25.0,38383.0
2017,Fresno,98731.13977823606,209.0,38383.0
2017,Fresno,98731.13977823606,21.0,16329.0
2017,Fresno,98731.13977823606,67.0,16329.0
2017,Fresno,98731.13977823606,80.0,16329.0
2017,Fresno,98731.13977823606,659.0,16329.0
2017,Fresno,98731.13977823606,64.0,167247.0
2017,Fresno,98731.13977823606,234.0,167247.0
2017,Fresno,98731.13977823606,278.0,167247.0
2017,Fresno,98731.13977823606,1587.0,167247.0
2017,Fresno,98731.13977823606,16.0,100780.0
2017,Fresno,98731.13977823606,129.0,100780.0
2017,Fresno,98731.13977823606,63.0,100780.0
2017,Fresno,98731.13977823606,467.0,100780.0
2017,Glenn,98731.13977823606,0.0,586.0
2017,Glenn,98731.13977823606,0.0,586.0
2017,Glenn,98731.13977823606,0.0,586.0
2017,Glenn,98731.13977823606,0.0,586.0
2017,Glenn,98731.13977823606,0.0,51.0
2017,Glenn,98731.13977823606,0.0,51.0
2017,Glenn,98731.13977823606,0.0,51.0
2017,Glenn,98731.13977823606,0.0,51.0
2017,Glenn,98731.13977823606,0.0,3321.0
2017,Glenn,98731.13977823606,0.0,3321.0
2017,Glenn,98731.13977823606,0.0,3321.0
2017,Glenn,98731.13977823606,1.0,3321.0
2017,Glenn,98731.13977823606,1.0,4862.0
2017,Glenn,98731.13977823606,1.0,4862.0
2017,Glenn,98731.13977823606,0.0,4862.0
2017,Glenn,98731.13977823606,1.0,4862.0
2017,Glenn,98731.13977823606,0.0,515.0
2017,Glenn,98731.13977823606,0.0,515.0
2017,Glenn,98731.13977823606,1.0,515.0
2017,Glenn,98731.13977823606,6.0,515.0
2017,Glenn,98731.13977823606,1.0,98.0
