Year,County,Gender,Race,Offense_Category,Count,Age
2017,San Francis,Female,Latinx,Violent,1.462686567164179,Juvenile
2017,San Joaquin,Female,Latinx,Violent,14.0,Juvenile
2017,San Luis Ob,Female,Latinx,Violent,2.0,Juvenile
2017,San Mateo,Female,Latinx,Violent,8.0,Juvenile
2017,Santa Barba,Female,Latinx,Violent,13.0,Juvenile
2017,Santa Clara,Female,Latinx,Violent,45.0,Juvenile
2017,Santa Cruz,Female,Latinx,Violent,5.0,Juvenile
2017,Shasta,Female,Latinx,Violent,0.0,Juvenile
2017,Sierra,Female,Latinx,Violent,0.0,Juvenile
2017,Siskiyou,Female,Latinx,Violent,1.0,Juvenile
2017,Solano,Female,Latinx,Violent,1.0,Juvenile
2017,Sonoma,Female,Latinx,Violent,8.0,Juvenile
2017,Stanislaus,Female,Latinx,Violent,21.0,Juvenile
2017,Sutter,Female,Latinx,Violent,3.0,Juvenile
2017,Tehama,Female,Latinx,Violent,0.0,Juvenile
2017,Trinity,Female,Latinx,Violent,0.0,Juvenile
2017,Tulare,Female,Latinx,Violent,13.0,Juvenile
2017,Tuolumne,Female,Latinx,Violent,0.0,Juvenile
2017,Ventura,Female,Latinx,Violent,17.0,Juvenile
2017,Yolo,Female,Latinx,Violent,4.0,Juvenile
2017,Yuba,Female,Latinx,Violent,2.0,Juvenile
2017,Alameda,Female,Asian/other,Violent,6.0,Juvenile
2017,Alpine,Female,Asian/other,Violent,0.0,Juvenile
2017,Amador,Female,Asian/other,Violent,0.0,Juvenile
2017,Butte,Female,Asian/other,Violent,0.0,Juvenile
2017,Calaveras,Female,Asian/other,Violent,1.0,Juvenile
2017,Colusa,Female,Asian/other,Violent,0.0,Juvenile
2017,Contra Cost,Female,Asian/other,Violent,3.0,Juvenile
2017,Del Norte,Female,Asian/other,Violent,1.0,Juvenile
2017,El Dorado,Female,Asian/other,Violent,0.0,Juvenile
2017,Fresno,Female,Asian/other,Violent,2.0,Juvenile
2017,Glenn,Female,Asian/other,Violent,0.0,Juvenile
2017,Humboldt,Female,Asian/other,Violent,0.0,Juvenile
2017,Imperial,Female,Asian/other,Violent,1.0,Juvenile
2017,Inyo,Female,Asian/other,Violent,1.0,Juvenile
2017,Kern,Female,Asian/other,Violent,2.0,Juvenile
2017,Kings,Female,Asian/other,Violent,1.0,Juvenile
2017,Lake,Female,Asian/other,Violent,0.0,Juvenile
2017,Lassen,Female,Asian/other,Violent,0.0,Juvenile
2017,Los Angeles,Female,Asian/other,Violent,8.0,Juvenile
2017,Madera,Female,Asian/other,Violent,0.0,Juvenile
2017,Marin,Female,Asian/other,Violent,0.0,Juvenile
2017,Mariposa,Female,Asian/other,Violent,0.0,Juvenile
2017,Mendocino,Female,Asian/other,Violent,2.0,Juvenile
2017,Merced,Female,Asian/other,Violent,0.0,Juvenile
2017,Modoc,Female,Asian/other,Violent,0.0,Juvenile
2017,Mono,Female,Asian/other,Violent,0.0,Juvenile
2017,Monterey,Female,Asian/other,Violent,0.0,Juvenile
2017,Napa,Female,Asian/other,Violent,0.0,Juvenile
2017,Nevada,Female,Asian/other,Violent,0.0,Juvenile
2017,Orange,Female,Asian/other,Violent,5.0,Juvenile
2017,Placer,Female,Asian/other,Violent,1.0,Juvenile
2017,Plumas,Female,Asian/other,Violent,0.0,Juvenile
2017,Riverside,Female,Asian/other,Violent,0.0,Juvenile
2017,Sacramento,Female,Asian/other,Violent,4.0,Juvenile
2017,San Benito,Female,Asian/other,Violent,0.0,Juvenile
2017,San Bernard,Female,Asian/other,Violent,1.0,Juvenile
2017,San Diego,Female,Asian/other,Violent,8.0,Juvenile
2017,San Francis,Female,Asian/other,Violent,1.0447761194029852,Juvenile
2017,San Joaquin,Female,Asian/other,Violent,3.0,Juvenile
2017,San Luis Ob,Female,Asian/other,Violent,2.0,Juvenile
2017,San Mateo,Female,Asian/other,Violent,5.0,Juvenile
2017,Santa Barba,Female,Asian/other,Violent,0.0,Juvenile
2017,Santa Clara,Female,Asian/other,Violent,8.0,Juvenile
2017,Santa Cruz,Female,Asian/other,Violent,0.0,Juvenile
2017,Shasta,Female,Asian/other,Violent,0.0,Juvenile
2017,Sierra,Female,Asian/other,Violent,0.0,Juvenile
2017,Siskiyou,Female,Asian/other,Violent,0.0,Juvenile
2017,Solano,Female,Asian/other,Violent,2.0,Juvenile
2017,Sonoma,Female,Asian/other,Violent,1.0,Juvenile
2017,Stanislaus,Female,Asian/other,Violent,1.0,Juvenile
2017,Sutter,Female,Asian/other,Violent,0.0,Juvenile
2017,Tehama,Female,Asian/other,Violent,0.0,Juvenile
2017,Trinity,Female,Asian/other,Violent,0.0,Juvenile
2017,Tulare,Female,Asian/other,Violent,0.0,Juvenile
2017,Tuolumne,Female,Asian/other,Violent,0.0,Juvenile
2017,Ventura,Female,Asian/other,Violent,0.0,Juvenile
2017,Yolo,Female,Asian/other,Violent,0.0,Juvenile
2017,Yuba,Female,Asian/other,Violent,0.0,Juvenile
2017,Alameda,Female,White,Violent,3.0,Juvenile
2017,Alpine,Female,White,Violent,0.0,Juvenile
